Date,Price,Open,High,Low,Vol.,Change %
"May 15, 2020",28.31,28.28,28.45,28.07,32.25M,-0.94%
"May 14, 2020",28.58,28,28.58,27.62,39.83M,1.74%
"May 13, 2020",28.09,28.8,28.8,28,49.27M,-2.77%
"May 12, 2020",28.89,29.51,29.67,28.89,35.22M,-1.67%
"May 11, 2020",29.38,29.65,29.65,29.15,29.22M,-1.38%
"May 08, 2020",29.79,29.29,29.85,29.21,24.05M,3.12%
"May 07, 2020",28.89,29.17,29.2,28.83,31.81M,0.35%
"May 06, 2020",28.79,29.82,29.87,28.79,45.09M,-3.19%
"May 05, 2020",29.74,29.74,30.18,29.72,24.63M,0.47%
"May 04, 2020",29.6,29.75,29.75,29.22,35.16M,-1.00%
"May 01, 2020",29.9,30.77,30.79,29.75,36.85M,-1.87%
"Apr 30, 2020",30.47,31,31.05,30.28,40.75M,-3.05%
"Apr 29, 2020",31.43,31.13,31.87,31.07,33.16M,2.54%
"Apr 28, 2020",30.65,31,31.12,30.61,30.92M,0.36%
"Apr 27, 2020",30.54,29.99,30.68,29.74,33.32M,2.79%
"Apr 24, 2020",29.71,29.59,29.95,29.15,35.57M,0.71%
"Apr 23, 2020",29.5,29.44,30.05,29.33,34.01M,0.10%
"Apr 22, 2020",29.47,30.9,30.9,29.31,50.76M,-1.34%
"Apr 21, 2020",29.87,30.51,30.52,29.64,43.21M,-3.58%
"Apr 20, 2020",30.98,30.85,31.42,30.7,30.58M,-0.80%
"Apr 17, 2020",31.23,30.85,31.25,30.7,34.66M,3.55%
"Apr 16, 2020",30.16,30.28,30.28,29.7,32.53M,0.23%
"Apr 15, 2020",30.09,30.63,30.96,29.96,37.54M,-3.34%
"Apr 14, 2020",31.13,30.69,31.16,30.35,31.94M,3.11%
"Apr 13, 2020",30.19,30.5,30.72,29.9,34.15M,-1.76%
"Apr 09, 2020",30.73,30,30.94,29.99,50.33M,2.81%
"Apr 08, 2020",29.89,29.95,30,29.1,40.79M,-0.63%
"Apr 07, 2020",30.08,30.44,30.97,30.07,54.27M,2.17%
"Apr 06, 2020",29.44,28.4,29.68,28.31,53.50M,7.21%
"Apr 03, 2020",27.46,28.53,28.74,27.25,53.44M,-4.52%
"Apr 02, 2020",28.76,28,28.87,28,33.82M,2.53%
"Apr 01, 2020",28.05,28.38,28.58,27.7,54.65M,-3.77%
"Mar 31, 2020",29.15,30.04,30.13,29.05,69.81M,-3.57%
"Mar 30, 2020",30.23,29.9,30.41,29.48,41.63M,1.31%
"Mar 27, 2020",29.84,29.59,30.81,29.23,46.39M,-2.48%
"Mar 26, 2020",30.6,28.73,30.95,28.71,64.09M,7.75%
"Mar 25, 2020",28.4,28.01,29.91,27.42,68.03M,1.10%
"Mar 24, 2020",28.09,28.04,28.3,26.86,76.30M,4.93%
"Mar 23, 2020",26.77,27.39,27.71,26.08,96.88M,-5.91%
"Mar 20, 2020",28.45,30.46,30.5,28.18,116.73M,-8.67%
"Mar 19, 2020",31.15,31.35,32.49,30.52,60.82M,-5.18%
"Mar 18, 2020",32.85,31.95,32.9,30.28,76.03M,-2.64%
"Mar 17, 2020",33.74,32.12,34.06,32.01,59.64M,6.07%
"Mar 16, 2020",31.81,31,33.89,30.92,58.78M,-7.72%
"Mar 13, 2020",34.47,32.92,34.61,31.86,64.69M,10.02%
"Mar 12, 2020",31.33,31.86,33.43,31.06,84.22M,-9.24%
"Mar 11, 2020",34.52,34.85,35.07,34.16,45.34M,-3.71%
"Mar 10, 2020",35.85,35.51,35.89,34.24,56.66M,3.34%
"Mar 09, 2020",34.69,35.01,36.15,34.38,67.97M,-6.32%
"Mar 06, 2020",37.03,36.71,37.25,36.18,48.88M,-0.40%
"Mar 05, 2020",37.18,37.4,37.92,36.97,45.30M,-2.62%
"Mar 04, 2020",38.18,37.02,38.22,36.72,42.07M,5.18%
"Mar 03, 2020",36.3,37.26,37.96,35.87,63.81M,-2.37%
"Mar 02, 2020",37.18,35.37,37.42,35.29,68.43M,5.57%
